summonerId,summonerName,leaguePoints,rank,wins,losses,puuid
,,1235,I,162,134,0cJA_oEeLbT8URTqfTKoAOr_N-eqhQ8a6oW62rcsN6aLTAZLwdhMwFMgTsEQlRspP3RFyGDCFgLzCg
,,1232,I,104,68,e9WkthdEB8Ch_xsimk0ivd8-TTBwTpTMYiSz0LWXy47WCXraq6-iJgkPvuL6N763voWRHH21lFNMbg
,,1231,I,141,78,8wYt3o3h63ZlO8JJSodp4YEd0Ob781UNaEjrnkMwXp0I_m3m2O-AMXdLnQ5QuZHLsXAZ4K4GKO7_5g
,,1226,I,161,110,bu_LAbAHTQmjWtJrj85BoPgvZa5oEcCTbyB2T-HLDwj_4M2NrCIiin-4Mo0VgP7FfcW3lpTI8iwGzQ
,,1224,I,85,39,tgi1JrfPlP5FMJCw6Eyr83Z1UOqXXjF_rxPvUwwShT3ynhwUTMC1Vuo7Bv6zlVAHP7loSHcDMjHtHw
,,1222,I,149,124,IOdrpNUxNsfQASriOEq65K5bvQ7ozudz-C45w9-B1-mhKJ29ErBl-E2Qh9gNPwBVafpoPOXpzeaiyw
,,1221,I,115,90,GTDQnU6DRe-3SetKUe75uoq7hjkaBK_LFx2XQTtBQwFt0pWpeMdkSydR7QEl-f3K_x2B0vxwQCFWEQ
,,1218,I,155,79,NR2rHV89qusQV60itbELJjRBFI3r3wbc0d1LcrLMlNJtrgtaEa9E1iMrqjRtcsATCpTETOHooDb6rw
,,1216,I,132,100,a4dI82jcHoDAOpCI3lJJuXGm9I74Iacla4XaL4IocOYmlsJkGM0aoDsNgGNfsdi_ddFtvrDx93u26w
,,1211,I,97,85,X0ocH_vx4EcE6SbXOr1Ic2waFKqBtDtofyMr-SQ42pfhlvlZz67q6S4ficlnoE2LCAeIpjjuvUBgFA
,,1208,I,144,115,wsxFJFR9yiI4b1KdPMBShK_uQ7RmfjUE9c2hg8uXLxku1ngAw1VoGVr8u7SRADkjsc-_794B8rRJmg
,,1208,I,117,71,5PHErKTGUx5dvOcQH2XdptNmgxx0XlMQkeRi2nkETBrIc7f9tyGPtGdNYsQ77Vhbul5B91hQVchXWg
,,1204,I,218,168,e9MKqWqh3IfhCwHJjqn1eZG9j7gSrzXITziXqio7himJamCEgAaJBBOXd1LQvlzKgypPljay9-wG2w
,,1197,I,147,89,h1pAepiCO8mAMKW-xAh7pi7H4zV7FR1B6O7MCZwyjIeENazvJakMMUKbkB4JNTxS3vNyTEBzKzBPKA
,,1194,I,147,132,WF8xvMGq7LsOzUEv8FpGb2Ckk-0eiyr92CoLJCUJS0VD_uqYSchb6O4g7B4m8bIQEJGMjyBn93a3BA
,,1187,I,147,121,XaDMKGok31Sl76jDFJ43B_PykVwZ1LKPdeoJqmWnfa9gNmT9ypX8WpD8yQ56cUFOXX86o9b1jw7Xcg
,,1187,I,76,29,r8elOMAF2k3wgxbh5vhrjmRN0N2UjsyvJPVS8KZRjVoDVScFd-5RwXkfaJUF8mkqUnQkwS3YobW_CQ
,,1177,I,112,88,fvt7LZ14VLDekIiqMDNsC4xGLBJYuSclzwpWJFzzOw3488T1v87GDTMYtUOIGLlaC2HnzxtX0Or-Dg
,,1171,I,192,150,LOd3k3BvtXWkVNuSWELZJHcQKXo1g3BETuSgsi9Hbgrk-KHXXIZTu1ZW95inHS-5I1Pn9ZdFQVAVdw
,,1170,I,146,85,drIQR6Qz2esgaBuU8-5CJRzr2TgjcG4ESSxnMqcT6z_74aRd8CjsFvaam1_VcGSmmWD463-mLX4gzA
,,1166,I,238,183,xthd9C-6FtlG-j9SB1oILMoQXgZPvXyksC6zN9tP0hyeRMQWNy41wFD3HN594pHlVRoM2P-WfwrzRw
,,1166,I,142,126,2cQ3iHyDKh9KucXLUnf8sifqeO17f96co0OV9VPeveW9yfWboFeuJwTookLJK82oJqquwzNj2yrNOw
,,1163,I,185,166,Vc_yFcsniPPO9ZekasaLUKq9HJnG1Afiylbdz0D235_NLBZOA3pK3nEI4PvGH7R9xCr3pG0VgQ0rJQ
,,1161,I,96,63,sSNkguymUZpgwHbgQH02AfkqtQ9A6KT_y-VTLwCwTbxSM_OQz-jAP-MBUeK3S5cJGaKcgiV2KjB1Jg
,,1160,I,152,134,3907JN28ROXeikT9_TPGrA82PtrOBWIQOBap9kdwI_V6lp8fvKbiKvr8m4_quhhLv5cicXOvtdkKpg
,,1160,I,98,68,IAa9Ft2ELRvguZErTpRfCX4fcQnmOdAyya9PYDLSfB9AEG8o0gET6A2Yhp_L9Pc53GVQJEG5KaOu9A
,,1156,I,94,65,fypEpiOXWNGZKSzj4Ksxx5WPSVWf6RfJkswV7uxkVRJ8CU8uYnGd-Y69JkjMwwBMAhP1H2E_3q_Hkw
,,1155,I,91,30,kYTlzBQGnQgYEjT9rArt32dhGgYd2iURrD8HQGZpdkqoCTnW6FuNqmy_9SEwDuQMeQs67lBpC5Ot4Q
,,1153,I,129,98,hHzfTZmkIlGUIikCDbdk846Ji36kkbOOyJVsJi-z9DkFlPGFEZG5wUV9aLvh-ANSJtp25xeNpFFk4w
,,1150,I,133,109,yoxfZmpIZLi1rEQ5cjl87NTNca9X65rF-S7q8Au6_lwBl7-dGS7V0Mh0qoGMTg2aJlhpW7IH445IUA
,,1148,I,91,81,5M0QNcv9f2OiEVg7o7f4tQnyPIbQ9PhTV-7R7xfal0Di2aHBgY32ydRZDkU1niv6WiJF7kLCI7-nww
,,1147,I,148,116,E4yzfbhvyubdR6OTNzVvygFh2_pKBga-CWEmVoQ5AXEihra9X_psTHz_QNeGkLiFY6V5GHB6xvFzlw
,,1147,I,143,116,wDMD8ZMadmXWmNCZ4HhdCOO2VpXfixHpF-lsK2uyCB3q5Ka9RDhpcufEg1VJS9gSwrS2ko3Loju5Vw
,,1139,I,82,56,u51kxXBOGX5n5w8LdfiNZfQwwJ2GhzsCxzbNVtm6UpQixPkDTurPc8XTw_MMhql37pHA4M1XSZxqow
,,1136,I,270,224,kWz5IhZq9OU_w5YDKuYsLzpbGACUvrb6FPZjzeAbvvcn79bPq1nA14b09iQ3ESiw-MpvQB82T83_Sw
,,1133,I,116,99,f0EvimLTEBqAiR4MQ6f0w6qrbjv7__4nrVSkgQVHUcGBfnWZ4b12bj0GZfB_7fOQYQbmY6rIoOYNEw
,,1132,I,209,155,qExj6jTasESIyHa3qjiBcUpJCD1DPFJmmsJx3miLnje1evU_QaBbZhb747sQ6lUdWmuj5MNmnC2fVg
,,1131,I,208,182,MXlrwk-prQQZO0B051Ik5exWL7mP0SSg2M8p7RWBIiYtAukD5HMjYc_NKKL0oJcOML2UcKGHp6nBKg
,,1131,I,108,86,6BLnB3sF7pLCQLBZFaeBf1Fz_8pYNzhPDylnf-jDRQPb4j4Svsv7gXYYMCN5GqmptiV8TOLBb9bICw
,,1130,I,251,193,x1hR-qp1zXWQZzorvV6Up79_u2MGz5Py7R68h5GSrU4uqpdnM29X7kHAUXSKwOzHQFeVLr30hVXUHg
,,1130,I,76,51,wAQg9nvwlXFmJDU3XhSSOuPJ76Xj03_PFk9nWP28xSiOWv3aIDpilMarTsv4ZiKx_rZaeeyRLNR2oA
,,1127,I,143,116,tSODiCimy-i4ApU5D_mFvEtZL-s3ASg-ATiMwvisFmAIHJpRRmAgt9t0vZTbzIFnWA6GyyCGV9Va5Q
,,1127,I,125,112,omrfheO4sVED90GKgIvWJNvDhs9VPRhXnVTGsKcWIEyRbxSDL_mrWiskdmzZ5p28Jtz6DFv0Y4WryA
,,1121,I,119,54,amwDQ5FrG9oKCvCaVot5jtQ4Wxb-Ju73AgcClB-arjAyRbCEvXk2e5X2T5N74OXXLJ51yyuLjIufIQ
,,1121,I,76,49,nIrnC4ZzTp1zrEyXQhcCX84dn_QYRhUI8lLukePbDpps_80PdOgTGGeRhupN0GiXWWR9bc0JDAxc3Q
,,1118,I,144,129,zrtzGiGl16HdvcK5qrfTtak-VO33Wae4wRYIguspcn9IjoJfmp5THbqdhyly8FA7nnG5WuqVvEDYJQ
,,1117,I,171,145,uCJurRjd9r7d1dAZv_8meNvXYsquuqUTkz0TpPcoOhXijIjdDq9ARes_UQxTGS35FmWKgM9zhPrSFQ
,,1117,I,131,102,Jn-K63omhLDGpvi0uv75ybRm2QS9B_IrDvkGpQIsXKG_nzdHleTseCyha3qCr39Ly9jr4BF3z0hlUw
,,1116,I,104,82,rQzUzGOYrGjiwNXhLdqEb6K7ETcX1QxXijlS0jXlC6AVvoPTjaLsjVS-wRDqDngqsWDzAqP6xWU7lA
,,1112,I,241,211,TGJ9p3K58F_sCXadvm97T7pgwUdI_xDCdAlxNfggkKcHXXpwkLhgPc1Ogc3zRQ8K6t0-0RxhRo7C7Q
,,1110,I,125,104,7BPAqiZR8XsIxwa_UrScqETrl0SvcAfsLxmxYXZ0prwXvxWF6zRQfnKjti_7lXUg6ckDVyvK-77CaA
,,1109,I,115,88,-4PaefTumoYj0QpIoBn6s67pZPGXE_Di_8wvnaAEzgDMInWBWHJuIAG4PBFYRatoETWJ_2YPejPxSg
,,1108,I,90,77,ahARbtIZVULK2U9YFkqmSDjjIrkcX9ZmfreTCcUUs9hl5-wDVixylQV45q5y6sX1KaQ3Gl3ANaC-1g
,,1106,I,183,149,OBZbFcD25cf5BAnJsOxoj2GPembr-eRMTRKAayqyXvrGpu1oY7P1vFmveqctdL6UTNesWDzv9vPs3A
,,1106,I,74,54,tO-Y4Hd6w4eQeCvsmskiBrA0ItxrcshhW9agH5QMpmy-92gyJlnwLbzeWLhdma8PI7tvcu9nn3XFRg
,,1105,I,127,107,YJAC2Www0u1FXBTyt9OwmaeoU7RbSuOpd9IEe1az65zYbpPeWIqMl-AXIuSzlx48z6MSjzODnhdKog
,,1104,I,173,140,48Sj-6KT1JX5haLvtNqS99NHKDC2XnfNCERS7mslZ5IJAq0AZV0sFH6DXZUnINy3jeHunjvGImqbXg
,,1102,I,94,73,dyyzeoDZk5RcDsGt1WEK5QN3BGuIMcSXWwsniGKd2qqr-h_p9YGw36vfL8AiD6UmlIdURiHfcKMMwg
,,1102,I,92,55,_o3GDez0g08hgm_GdQTtpPUM7pXE2RY95Y22T9dAUlPbFij2MUUdtB_AThsZXU29ZphoLs7Jm6BIig
,,1101,I,120,96,rOOEec9PO7wh1ofTZIIQD6vdS9fPNs6L4Is0PvRbSKki_KMD2t_Vq1zuPJCM5ibpf9KRBCIou7m4hQ
,,1100,I,118,91,p-d8D9ynmu5YrvHtOjqIr_OHsqTEQeKLhRmyx45fQZl9Hh061Fxkp3mNf0L5oyv3JCSb_FmY_3oIJw
,,1099,I,82,54,PLe2AvE9LhXKB8hgcf756j_gqik1xXFUlop9G-Yd2Pb0iGKXRMg745Qrd8XqbFea1w4aB82JhdYZCQ
,,1098,I,106,82,MClfMfkMARP1-Rh_y8XUX2bGMusFAYfUmUTKm8-WGJEiQbvCf138aeWe1Wecn519shrztNcM_US1gA
,,1098,I,94,75,KAlHntLcUY7PywkYeEk4Ysx-cayLTmRvI7-IsodgryUCpBXUHjHqxcEr6Ic4-_SAZVY6CCXLPJlufQ
,,1096,I,142,102,KyV4JMtHjMfPYi0e7lLtgQ2O1brLBCdxs-aXCQIu-hSiubahllTs9QnBpCxLOyYde34tlLhvABPWKA
,,1094,I,108,88,uGWN6E8hQjjNh0GnjPPbjU5JlhHEUVhPvWCYFW8-yBSc9jvdVUt0YPlV-ototxmH6lb2t6sYYSms7Q
,,1093,I,119,114,A25h5mx_G0u5o5dfjZ2hX3F9dfCV7iQPmYfWFMANgDe0wRV_7EQEvLOECDSqw6WcXW4TVqK1On4epQ
,,1093,I,118,95,yvXwyXhQdovQ4F3NsO1tKs7rGqBQP-dZOCuZg2u4iPRSkXwbXb2Iu4ef3EewueyBop35VeryNvFSOQ
,,1093,I,90,66,Re9tIJUPs1S86Ou8tXbMSMICxYq1nh2Bj7FbKsxl7xfOQ-3emjyQN1JObgbi0yi9Izi0vu0dO6kzmw
,,1093,I,78,48,HR1qbjAwkWuZqwYjxH-UhjRssP8Yd5lngkUl16kknr-sp7gCLBhOtKUtxUlHG_jh73M9ANTsUfQhgw
,,1092,I,87,65,VW4NNCilUF5BKhi8mzuYZI1m-Vjm8ZhdJd0GokKQKgXNK-KXR416a7SqUD5VSGtKLqB_tGQ2inId-A
,,1091,I,122,87,8ytnWO_LjuoctN0MEslWrjJphqGo0yRuEB622iy4OYFhII3g1RmzgDrYM4lHP4F1PnNCyzdNrDTXEw
,,1090,I,131,94,H8Eyk35m-pRYhWh-VciSg8lMRZqknmBwOhPC8bWheluhl1HvAWTRwiLzMgC7RKHvlhKsgXmHSfQYWQ
,,1089,I,108,80,2iUh4WGdG6NSYIa9eLUf9StgONxtXBeTvvXCkTi9CT4a6Xlzlc1S-A9-3tQ2d2OV_BryQgESKmSv1g
,,1086,I,149,133,vdUG4apYOKfmy1P7Ut4JaV0nrBhXr72IRJxa-NEdzW9PBt0xia9F-nl7oTVhXUZX6R9tj9mHdFyo5Q
,,1086,I,109,66,p1JAP1BYn_bQLugmN0g0zT4IGcgE2rg57BhMS-i67fROU5neQ-iX7SqSuejPX6_YH6G6dBV0PJXXuA
,,1085,I,80,48,ROOD3mVqKN9FVGDR_SLvC-Wwovzb94KF4-5ktFzgfpDcJjJLpoCtGfupKkDZIrpYvLbxDKsCqX56ww
,,1083,I,107,77,K31KB91SzEvTn1CsvnHuNux1e11eojr8-kJm2ueb-Kp3Td8DViJYQbaucqb8HJUhS_ir99ZldDJx6Q
,,1082,I,109,75,WDNvQ9g_Q0LkXUBN146_41zOrT8EzJl1FDrcr5cBOdergQLP-QjZCN3E9U6IgKfePysF8iNnH3-kKA
